Distance_(microns),Gray_Value
0.000000,1854.000
0.008229,2179.725
0.016459,2539.250
0.024688,2995.550
0.032918,3669.200
0.041147,4632.625
0.049377,5795.750
0.057606,7273.275
0.065836,9513.800
0.074065,12948.325
0.082295,17592.000
0.090524,23062.250
0.098754,28853.301
0.106983,34876.352
0.115213,40788.949
0.123442,46033.500
0.131672,50117.000
0.139901,52594.699
0.148131,53282.852
0.156360,52093.273
0.164590,49475.500
0.172819,45790.023
0.181049,40973.199
0.189278,35096.426
0.197508,29105.600
0.205737,23716.625
0.213967,19129.900
0.222196,15230.925
0.230426,11827.000
0.238655,9026.250
0.246885,6822.750
0.255114,5227.625
0.263344,4082.000
0.271573,3131.700
0.279803,2245.900
0.288032,1582.125
0.296262,1169.300
0.304491,971.975
0.312721,850.400
0.320950,723.125
0.329179,583.000
