Distance_(microns),Gray_Value
0.000000,1092
0.008229,1319
0.016459,1571
0.024688,1976
0.032918,2800
0.041147,4201
0.049377,6211
0.057606,8802
0.065836,11921
0.074065,15703
0.082295,20449
0.090524,26388
0.098754,33233
0.106983,40230
0.115213,46365
0.123442,50684
0.131672,52991
0.139901,53211
0.148131,51082
0.156360,46879
0.164590,41653
0.172819,36432
0.181049,31403
0.189278,26402
0.197508,21929
0.205737,18147
0.213967,14640
0.222196,11294
0.230426,8433
0.238655,6301
0.246885,4783
0.255114,3667
0.263344,2845
0.271573,2262
0.279803,1808
