Distance_(microns),Gray_Value
0.000000,4.000
0.024084,2.000
0.048168,2.125
0.072252,4.281
0.096336,0.000
0.120420,7.344
0.144504,4.125
0.168588,11.562
0.192672,42.000
0.216756,32.781
0.240840,75.625
0.264924,90.562
0.289008,135.750
0.313092,144.125
0.337177,196.688
0.361261,184.750
0.385345,222.500
0.409429,170.781
0.433513,162.500
0.457597,105.281
0.481681,102.625
0.505765,90.812
0.529849,44.125
0.553933,48.875
0.578017,27.000
0.602101,15.438
0.626185,18.562
0.650269,17.000
0.674353,3.750
0.698437,6.094
0.722521,2.125
0.746605,14.594
0.770689,2.000
