Distance_(microns),Gray_Value
0.000000,388.000
0.008229,490.231
0.016459,656.308
0.024688,888.154
0.032918,1196.487
0.041147,1585.103
0.049377,2095.231
0.057606,2886.333
0.065836,4348.308
0.074065,6823.615
0.082295,10474.667
0.090524,15220.718
0.098754,20714.154
0.106983,26432.334
0.115213,31603.256
0.123442,36156.309
0.131672,40379.230
0.139901,44938.332
0.148131,49272.309
0.156360,51650.152
0.164590,50841.922
0.172819,47807.617
0.181049,43920.973
0.189278,39502.152
0.197508,33883.309
0.205737,27279.104
0.213967,20899.000
0.222196,16069.385
0.230426,12728.410
0.238655,10122.282
0.246885,7578.615
0.255114,5241.128
0.263344,3577.795
0.271573,2699.308
0.279803,2295.615
0.288032,2022.385
0.296262,1734.923
0.304491,1460.538
0.312721,1205.846
0.320950,977.000
