Time_[s],Count_Rate_Channel_1_[kCounts/s]
0.31536,598.00000
0.31637,563.00000
0.31737,506.00000
0.31837,610.00000
0.31937,698.00000
0.32037,667.00000
0.32137,738.00000
0.32237,920.00000
0.32337,1231.00000
0.32438,868.00000
0.32538,688.00000
0.32638,705.00000
0.32738,715.00000
0.32838,735.00000
0.32938,1234.00000
0.33038,815.00000
0.33138,831.00000
0.33238,749.00000
0.33339,700.00000
0.33439,729.00000
0.33539,1032.00000
0.33639,1017.00000
0.33739,920.00000
0.33839,875.00000
0.33939,731.00000
0.34039,671.00000
0.34139,783.00000
0.34240,718.00000
0.34340,839.00000
0.34440,1108.00000
0.34540,1092.00000
0.34640,986.00000
0.34740,782.00000
0.34840,666.00000
0.34940,682.00000
0.35041,619.00000
0.35141,709.00000
0.35241,727.00000
0.35341,811.00000
0.35441,705.00000
0.35541,773.00000
0.35641,871.00000
0.35741,847.00000
0.35841,788.00000
0.35942,763.00000
0.36042,750.00000
0.36142,799.00000
0.36242,635.00000
0.36342,731.00000
0.36442,619.00000
0.36542,667.00000
0.36642,706.00000
0.36742,698.00000
0.36843,591.00000
0.36943,477.00000
0.37043,598.00000
0.37143,474.00000
0.37243,485.00000
0.37343,456.00000
0.37443,448.00000
0.37543,488.00000
0.37644,420.00000
0.37744,451.00000
0.37844,477.00000
0.37944,420.00000
0.38044,440.00000
0.38144,475.00000
0.38244,406.00000
0.38344,526.00000
0.38444,424.00000
0.38545,488.00000
0.38645,498.00000
0.38745,493.00000
0.38845,511.00000
0.38945,508.00000
0.39045,509.00000
0.39145,464.00000
0.39245,408.00000
0.39346,365.00000
0.39446,387.00000
0.39546,380.00000
0.39646,378.00000
0.39746,374.00000
0.39846,354.00000
0.39946,425.00000
0.40046,439.00000
0.40146,449.00000
0.40247,560.00000
0.40347,584.00000
0.40447,584.00000
0.40547,529.00000
0.40647,514.00000
0.40747,598.00000
0.40847,558.00000
0.40947,573.00000
0.41047,551.00000
0.41148,667.00000
0.41248,643.00000
0.41348,683.00000
0.41448,653.00000
0.41548,702.00000
0.41648,694.00000
0.41748,640.00000
0.41848,663.00000
0.41949,615.00000
0.42049,634.00000
0.42149,650.00000
0.42249,637.00000
0.42349,537.00000
0.42449,580.00000
0.42549,517.00000
0.42649,486.00000
0.42749,493.00000
0.42850,474.00000
0.42950,495.00000
0.43050,442.00000
0.43150,434.00000
0.43250,385.00000
0.43350,452.00000
0.43450,424.00000
0.43550,470.00000
0.43650,493.00000
0.43751,549.00000
0.43851,553.00000
0.43951,518.00000
0.44051,522.00000
0.44151,585.00000
0.44251,517.00000
0.44351,451.00000
0.44451,410.00000
0.44552,420.00000
0.44652,377.00000
0.44752,442.00000
0.44852,499.00000
0.44952,412.00000
0.45052,401.00000
0.45152,400.00000
0.45252,418.00000
0.45352,458.00000
0.45453,434.00000
0.45553,430.00000
0.45653,460.00000
0.45753,414.00000
0.45853,417.00000
0.45953,418.00000
0.46053,463.00000
0.46153,446.00000
0.46253,431.00000
0.46354,439.00000
0.46454,406.00000
0.46554,379.00000
0.46654,416.00000
0.46754,421.00000
0.46854,428.00000
0.46954,379.00000
0.47054,413.00000
0.47155,402.00000
0.47255,416.00000
0.47355,418.00000
0.47455,416.00000
0.47555,395.00000
0.47655,393.00000
0.47755,356.00000
0.47855,405.00000
0.47955,362.00000
0.48056,394.00000
0.48156,394.00000
0.48256,365.00000
0.48356,377.00000
0.48456,375.00000
0.48556,390.00000
0.48656,385.00000
0.48756,424.00000
0.48857,404.00000
0.48957,353.00000
0.49057,363.00000
0.49157,357.00000
0.49257,414.00000
0.49357,432.00000
0.49457,439.00000
0.49557,412.00000
0.49657,396.00000
0.49758,399.00000
0.49858,365.00000
0.49958,438.00000
0.50058,358.00000
0.50158,394.00000
0.50258,368.00000
0.50358,414.00000
0.50458,409.00000
0.50558,409.00000
0.50659,392.00000
0.50759,405.00000
0.50859,397.00000
0.50959,398.00000
0.51059,408.00000
0.51159,377.00000
0.51259,407.00000
0.51359,401.00000
0.51460,410.00000
0.51560,394.00000
0.51660,369.00000
0.51760,401.00000
0.51860,395.00000
0.51960,453.00000
0.52060,401.00000
0.52160,400.00000
0.52260,435.00000
0.52361,437.00000
0.52461,403.00000
0.52561,422.00000
0.52661,466.00000
0.52761,453.00000
0.52861,417.00000
0.52961,436.00000
0.53061,429.00000
0.53161,387.00000
0.53262,371.00000
0.53362,403.00000
0.53462,392.00000
0.53562,392.00000
0.53662,371.00000
0.53762,406.00000
0.53862,406.00000
0.53962,410.00000
0.54063,428.00000
0.54163,396.00000
0.54263,442.00000
0.54363,386.00000
0.54463,405.00000
0.54563,396.00000
0.54663,432.00000
0.54763,417.00000
0.54863,425.00000
0.54964,399.00000
0.55064,404.00000
0.55164,388.00000
0.55264,394.00000
0.55364,431.00000
0.55464,364.00000
0.55564,417.00000
0.55664,438.00000
0.55764,421.00000
0.55865,372.00000
0.55965,388.00000
0.56065,399.00000
0.56165,417.00000
0.56265,402.00000
0.56365,417.00000
0.56465,386.00000
0.56565,421.00000
0.56666,387.00000
0.56766,353.00000
0.56866,409.00000
0.56966,410.00000
0.57066,395.00000
0.57166,394.00000
0.57266,398.00000
0.57366,406.00000
0.57466,441.00000
0.57567,445.00000
0.57667,415.00000
0.57767,406.00000
0.57867,412.00000
0.57967,398.00000
0.58067,402.00000
0.58167,406.00000
0.58267,380.00000
0.58368,385.00000
0.58468,347.00000
0.58568,371.00000
0.58668,376.00000
0.58768,386.00000
0.58868,369.00000
0.58968,361.00000
0.59068,344.00000
0.59168,354.00000
0.59269,339.00000
0.59369,378.00000
0.59469,353.00000
0.59569,379.00000
0.59669,328.00000
0.59769,351.00000
0.59869,345.00000
0.59969,416.00000
0.60069,398.00000
0.60170,387.00000
0.60270,395.00000
0.60370,392.00000
0.60470,375.00000
0.60570,378.00000
0.60670,407.00000
0.60770,390.00000
0.60870,411.00000
0.60971,385.00000
0.61071,394.00000
0.61171,366.00000
0.61271,382.00000
0.61371,402.00000
0.61471,391.00000
0.61571,389.00000
0.61671,348.00000
0.61771,426.00000
0.61872,422.00000
0.61972,397.00000
0.62072,409.00000
0.62172,370.00000
0.62272,389.00000
0.62372,418.00000
0.62472,405.00000
0.62572,379.00000
0.62672,378.00000
0.62773,409.00000
0.62873,388.00000
0.62973,426.00000
0.63073,418.00000
0.63173,361.00000
0.63273,410.00000
0.63373,437.00000
0.63473,411.00000
0.63574,412.00000
0.63674,404.00000
0.63774,397.00000
0.63874,404.00000
0.63974,388.00000
0.64074,376.00000
0.64174,387.00000
0.64274,358.00000
0.64374,372.00000
0.64475,401.00000
0.64575,352.00000
0.64675,429.00000
0.64775,396.00000
0.64875,394.00000
0.64975,445.00000
0.65075,421.00000
0.65175,408.00000
0.65275,433.00000
0.65376,443.00000
0.65476,435.00000
0.65576,399.00000
0.65676,392.00000
0.65776,410.00000
0.65876,411.00000
0.65976,416.00000
0.66076,374.00000
0.66177,409.00000
0.66277,416.00000
0.66377,442.00000
0.66477,344.00000
0.66577,409.00000
0.66677,383.00000
0.66777,381.00000
0.66877,367.00000
0.66977,388.00000
0.67078,410.00000
0.67178,400.00000
0.67278,421.00000
0.67378,374.00000
0.67478,437.00000
0.67578,358.00000
0.67678,368.00000
0.67778,362.00000
0.67879,394.00000
0.67979,363.00000
0.68079,372.00000
0.68179,367.00000
0.68279,356.00000
0.68379,400.00000
0.68479,432.00000
0.68579,386.00000
0.68679,393.00000
0.68780,357.00000
0.68880,383.00000
0.68980,406.00000
0.69080,392.00000
0.69180,432.00000
0.69280,373.00000
0.69380,414.00000
0.69480,417.00000
0.69580,422.00000
0.69681,413.00000
0.69781,416.00000
0.69881,394.00000
0.69981,425.00000
0.70081,363.00000
0.70181,410.00000
0.70281,398.00000
0.70381,401.00000
0.70482,382.00000
0.70582,429.00000
0.70682,429.00000
0.70782,431.00000
0.70882,394.00000
0.70982,427.00000
0.71082,395.00000
0.71182,402.00000
0.71282,366.00000
0.71383,424.00000
0.71483,400.00000
0.71583,350.00000
0.71683,352.00000
0.71783,400.00000
0.71883,400.00000
0.71983,404.00000
0.72083,413.00000
0.72183,376.00000
0.72284,407.00000
0.72384,432.00000
0.72484,364.00000
0.72584,393.00000
0.72684,361.00000
0.72784,356.00000
0.72884,398.00000
0.72984,378.00000
0.73085,405.00000
0.73185,348.00000
0.73285,352.00000
0.73385,394.00000
0.73485,359.00000
0.73585,375.00000
0.73685,391.00000
0.73785,354.00000
0.73885,360.00000
0.73986,370.00000
0.74086,393.00000
0.74186,370.00000
0.74286,392.00000
0.74386,402.00000
0.74486,379.00000
0.74586,380.00000
0.74686,380.00000
0.74786,447.00000
0.74887,430.00000
0.74987,378.00000
0.75087,379.00000
0.75187,435.00000
0.75287,418.00000
0.75387,401.00000
0.75487,396.00000
0.75587,398.00000
0.75688,411.00000
0.75788,416.00000
0.75888,409.00000
0.75988,364.00000
0.76088,423.00000
0.76188,366.00000
0.76288,398.00000
0.76388,370.00000
0.76488,387.00000
0.76589,357.00000
0.76689,378.00000
0.76789,375.00000
0.76889,382.00000
0.76989,414.00000
0.77089,409.00000
0.77189,385.00000
0.77289,372.00000
0.77389,377.00000
0.77490,370.00000
0.77590,411.00000
0.77690,372.00000
0.77790,435.00000
0.77890,419.00000
0.77990,410.00000
0.78090,430.00000
0.78190,415.00000
0.78291,392.00000
0.78391,388.00000
0.78491,382.00000
0.78591,403.00000
0.78691,376.00000
0.78791,376.00000
0.78891,419.00000
0.78991,390.00000
0.79091,418.00000
0.79192,419.00000
0.79292,416.00000
0.79392,422.00000
0.79492,438.00000
0.79592,459.00000
0.79692,389.00000
0.79792,406.00000
0.79892,450.00000
0.79993,451.00000
0.80093,439.00000
0.80193,430.00000
0.80293,426.00000
0.80393,402.00000
0.80493,386.00000
0.80593,409.00000
0.80693,394.00000
0.80793,425.00000
0.80894,405.00000
0.80994,416.00000
0.81094,413.00000
0.81194,436.00000
0.81294,360.00000
0.81394,448.00000
0.81494,437.00000
0.81594,431.00000
0.81694,402.00000
0.81795,387.00000
0.81895,441.00000
0.81995,429.00000
0.82095,411.00000
0.82195,399.00000
0.82295,418.00000
0.82395,399.00000
0.82495,354.00000
0.82596,386.00000
0.82696,393.00000
0.82796,370.00000
0.82896,376.00000
0.82996,384.00000
0.83096,416.00000
0.83196,351.00000
0.83296,404.00000
0.83396,407.00000
