Distance_(microns),Gray_Value
0.000000,9.000
0.024084,8.806
0.048168,4.871
0.072252,12.032
0.096336,10.355
0.120420,9.000
0.144504,24.323
0.168588,10.806
0.192672,29.903
0.216756,53.613
0.240840,77.226
0.264924,103.581
0.289008,115.903
0.313092,227.548
0.337177,255.000
0.361261,255.000
0.385345,255.000
0.409429,255.000
0.433513,255.000
0.457597,255.000
0.481681,238.226
0.505765,151.774
0.529849,103.387
0.553933,51.419
0.578017,16.000
0.602101,12.226
0.626185,21.581
0.650269,8.226
0.674353,13.710
0.698437,10.484
0.722521,0.290
0.746605,3.000
