Distance_(microns),Gray_Value
0.000000,3328
0.008229,4343
0.016459,5726
0.024688,7671
0.032918,10631
0.041147,15245
0.049377,21433
0.057606,28449
0.065836,35508
0.074065,42616
0.082295,50102
0.090524,57626
0.098754,63353
0.106983,65535
0.115213,65535
0.123442,65535
0.131672,65535
0.139901,65535
0.148131,65535
0.156360,64374
0.164590,59544
0.172819,54270
0.181049,48310
0.189278,42161
0.197508,35444
0.205737,28459
0.213967,22101
0.222196,17125
0.230426,13338
0.238655,10184
0.246885,7802
0.255114,6242
0.263344,5247
