Distance_(microns),Gray_Value
0.000000,0.000
0.024084,0.094
0.048168,0.000
0.072252,0.281
0.096336,0.000
0.120420,8.000
0.144504,0.562
0.168588,3.000
0.192672,11.000
0.216756,12.500
0.240840,34.625
0.264924,92.281
0.289008,142.500
0.313092,156.281
0.337177,203.000
0.361261,172.312
0.385345,114.000
0.409429,52.219
0.433513,18.375
0.457597,18.094
0.481681,4.875
0.505765,3.938
0.529849,0.000
0.553933,4.438
0.578017,0.750
0.602101,2.781
0.626185,0.000
0.650269,0.469
0.674353,2.625
0.698437,0.000
0.722521,3.000
0.746605,0.000
0.770689,0.000
