Distance_(microns),Gray_Value
0.000000,3428.000
0.008229,4741.320
0.016459,6547.400
0.024688,8956.360
0.032918,11713.120
0.041147,14577.200
0.049377,17818.920
0.057606,21552.961
0.065836,25108.320
0.074065,27651.520
0.082295,29051.400
0.090524,29329.721
0.098754,28328.881
0.106983,26201.359
0.115213,23512.000
0.123442,20614.600
0.131672,17362.680
0.139901,13832.160
0.148131,10269.080
0.156360,7143.800
0.164590,4783.200
0.172819,3251.360
0.181049,2346.080
0.189278,1749.360
0.197508,1319.280
0.205737,1008.000
