Distance_(microns),Gray_Value
0.000000,1635.000
0.008229,2618.655
0.016459,4241.414
0.024688,6439.069
0.032918,8959.586
0.041147,11905.966
0.049377,15511.414
0.057606,20111.311
0.065836,25126.621
0.074065,30028.551
0.082295,34044.035
0.090524,37260.863
0.098754,39710.207
0.106983,41791.516
0.115213,42711.723
0.123442,41600.828
0.131672,38929.070
0.139901,35903.309
0.148131,32461.896
0.156360,27876.689
0.164590,22271.689
0.172819,16717.242
0.181049,12189.482
0.189278,8982.448
0.197508,6849.172
0.205737,5410.069
0.213967,4350.000
0.222196,3376.310
0.230426,2473.896
0.238655,1761.000
