Distance_(microns),Gray_Value
0.000000,482.000
0.008229,651.162
0.016459,897.054
0.024688,1269.405
0.032918,1850.432
0.041147,2741.378
0.049377,4045.108
0.057606,5752.919
0.065836,7884.648
0.074065,10545.648
0.082295,13968.919
0.090524,18589.459
0.098754,24873.838
0.106983,32344.514
0.115213,39632.270
0.123442,45424.352
0.131672,49548.621
0.139901,53042.945
0.148131,56849.109
0.156360,59622.324
0.164590,59742.973
0.172819,56674.352
0.181049,50780.164
0.189278,43357.621
0.197508,35298.594
0.205737,27593.811
0.213967,21133.703
0.222196,15918.757
0.230426,11652.946
0.238655,8335.352
0.246885,6112.135
0.255114,4615.838
0.263344,3481.270
0.271573,2595.676
0.279803,1997.189
0.288032,1603.297
0.296262,1300.811
0.304491,1072.000
