Distance_(microns),Gray_Value
0.000000,1251
0.008229,2060
0.016459,3172
0.024688,4771
0.032918,6887
0.041147,9937
0.049377,14082
0.057606,19379
0.065836,25579
0.074065,32580
0.082295,39470
0.090524,45288
0.098754,49847
0.106983,53996
0.115213,57579
0.123442,59869
0.131672,59933
0.139901,58308
0.148131,55467
0.156360,51786
0.164590,46745
0.172819,40472
0.181049,33290
0.189278,26209
0.197508,20015
0.205737,14967
0.213967,11037
0.222196,8183
0.230426,6106
0.238655,4570
0.246885,3382
0.255114,2571
0.263344,2151
0.271573,1953
0.279803,1764
0.288032,1497
0.296262,1222
