Distance_(microns),Gray_Value
0.000000,1277.000
0.008229,1728.688
0.016459,2423.500
0.024688,3521.938
0.032918,5356.000
0.041147,8103.812
0.049377,12150.250
0.057606,17441.938
0.065836,23419.500
0.074065,29152.688
0.082295,34684.125
0.090524,40353.625
0.098754,46242.000
0.106983,50512.188
0.115213,51647.500
0.123442,49808.375
0.131672,46305.000
0.139901,41614.500
0.148131,35587.500
0.156360,28902.500
0.164590,22794.750
0.172819,18271.812
0.181049,15233.125
0.189278,12924.875
0.197508,10551.500
0.205737,8071.938
0.213967,5751.125
0.222196,4057.938
0.230426,3000.500
0.238655,2361.812
0.246885,1933.250
0.255114,1624.500
0.263344,1394.000
