Time_[ns],Lifetime_Decay_HyD_4_[Counts]
0.04848,20313.00000
0.14545,10635.00000
0.24242,10736.00000
0.33939,10669.00000
0.43636,10842.00000
0.53333,10701.00000
0.63030,10557.00000
0.72727,10450.00000
0.82424,10101.00000
0.92121,9971.00000
1.01818,10057.00000
1.11515,9881.00000
1.21212,9640.00000
1.30909,9713.00000
1.40606,9515.00000
1.50303,9388.00000
1.60000,9323.00000
1.69697,9337.00000
1.79394,9230.00000
1.89091,15869.00000
1.98788,59361.00000
2.08485,102182.00000
2.18182,109003.00000
2.27879,104715.00000
2.37576,98357.00000
2.47273,92772.00000
2.56970,88110.00000
2.66667,83763.00000
2.76364,80630.00000
2.86061,77124.00000
2.95758,74520.00000
3.05455,72335.00000
3.15152,69892.00000
3.24848,67841.00000
3.34545,65244.00000
3.44242,63539.00000
3.53939,61514.00000
3.63636,60247.00000
3.73333,58865.00000
3.83030,57184.00000
3.92727,55204.00000
4.02424,53813.00000
4.12121,52780.00000
4.21818,51691.00000
4.31515,50457.00000
4.41212,49774.00000
4.50909,47597.00000
4.60606,46741.00000
4.70303,46112.00000
4.80000,44601.00000
4.89697,44317.00000
4.99394,43092.00000
5.09091,42085.00000
5.18788,41065.00000
5.28485,40825.00000
5.38182,39602.00000
5.47879,38314.00000
5.57576,37936.00000
5.67273,37290.00000
5.76970,36415.00000
5.86667,35531.00000
5.96364,34964.00000
6.06061,34617.00000
6.15758,33354.00000
6.25455,32998.00000
6.35152,32323.00000
6.44848,31818.00000
6.54545,30675.00000
6.64242,30668.00000
6.73939,29968.00000
6.83636,29316.00000
6.93333,29010.00000
7.03030,28069.00000
7.12727,27755.00000
7.22424,27380.00000
7.32121,26624.00000
7.41818,26216.00000
7.51515,25953.00000
7.61212,25356.00000
7.70909,25054.00000
7.80606,24826.00000
7.90303,24295.00000
8.00000,23582.00000
8.09697,23294.00000
8.19394,22808.00000
8.29091,22699.00000
8.38788,22103.00000
8.48485,21813.00000
8.58182,21446.00000
8.67879,21216.00000
8.77576,20978.00000
8.87273,20296.00000
8.96970,19937.00000
9.06667,20112.00000
9.16364,19678.00000
9.26061,19093.00000
9.35758,18668.00000
9.45455,18582.00000
9.55152,18303.00000
9.64848,17981.00000
9.74545,17919.00000
9.84242,17405.00000
9.93939,17211.00000
10.03636,16870.00000
10.13333,16551.00000
10.23030,16115.00000
10.32727,16262.00000
10.42424,15703.00000
10.52121,15695.00000
10.61818,15405.00000
10.71515,15171.00000
10.81212,14873.00000
10.90909,14673.00000
11.00606,14551.00000
11.10303,14369.00000
11.20000,13940.00000
11.29697,13774.00000
11.39394,13645.00000
11.49091,13554.00000
11.58788,13274.00000
11.68485,13169.00000
11.78182,12751.00000
11.87879,12563.00000
11.97576,12600.00000
12.07273,12547.00000
12.16970,12125.00000
12.26667,12111.00000
12.36364,11876.00000
12.46061,11752.00000
12.55758,11547.00000
