Distance_(microns),Gray_Value
0.000000,698.000
0.008229,989.735
0.016459,1495.294
0.024688,2262.265
0.032918,3414.529
0.041147,5018.706
0.049377,7259.118
0.057606,10317.941
0.065836,14203.471
0.074065,18326.854
0.082295,22187.000
0.090524,26055.383
0.098754,30801.529
0.106983,36127.148
0.115213,40653.941
0.123442,43094.410
0.131672,43137.234
0.139901,41202.500
0.148131,38003.000
0.156360,34156.910
0.164590,29971.176
0.172819,25005.354
0.181049,19643.824
0.189278,14806.794
0.197508,11303.941
0.205737,8786.941
0.213967,6729.588
0.222196,4784.000
0.230426,3129.706
0.238655,1931.000
0.246885,1261.412
0.255114,865.912
0.263344,617.765
0.271573,438.412
0.279803,303.000
