Distance_(microns),Gray_Value
0.000000,430
0.008229,576
0.016459,839
0.024688,1199
0.032918,1608
0.041147,2095
0.049377,2809
0.057606,4035
0.065836,5902
0.074065,8432
0.082295,11702
0.090524,16111
0.098754,22273
0.106983,30194
0.115213,38828
0.123442,46483
0.131672,52191
0.139901,56353
0.148131,59244
0.156360,60752
0.164590,61036
0.172819,59895
0.181049,57216
0.189278,53118
0.197508,48312
0.205737,43139
0.213967,37543
0.222196,31316
0.230426,24635
0.238655,18557
0.246885,13973
0.255114,10646
0.263344,7867
0.271573,5394
0.279803,3548
0.288032,2482
0.296262,2021
0.304491,1827
0.312721,1658
0.320950,1473
0.329179,1273
0.337409,1076
0.345638,877
0.353868,679
0.362097,507
